Gene                      Capacity   Entropy    Info       logC       R         
sp|Q9H9K5|MER34_HUMAN     563.000    328.096    234.904    9.137      1.397     
sp|P31689|DNJA1_HUMAN     397.000    314.244    82.756     8.633      3.797     
sp|P08246|ELNE_HUMAN      267.000    133.614    133.386    8.061      1.002     
sp|P10144|GRAB_HUMAN      247.000    169.883    77.117     7.948      2.203     
sp|P25685|DNJB1_HUMAN     340.000    286.807    53.193     8.409      5.392     
sp|P63244|RACK1_HUMAN     317.000    184.489    132.511    8.308      1.392     
sp|O60271|JIP4_HUMAN      1321.000   1065.750   255.250    10.367     4.175     
sp|Q96B97|SH3K1_HUMAN     665.000    594.386    70.614     9.377      8.417     
sp|Q9UBS4|DJB11_HUMAN     358.000    263.280    94.720     8.484      2.780     
sp|Q6P2E9|EDC4_HUMAN      1401.000   1113.549   287.451    10.452     3.874     
sp|O95298|NDUC2_HUMAN     119.000    72.837     46.163     6.895      1.578     
sp|Q05086|UBE3A_HUMAN     875.000    560.883    314.117    9.773      1.786     
sp|P29320|EPHA3_HUMAN     983.000    609.141    373.859    9.941      1.629     
sp|Q9NYL2|M3K20_HUMAN     800.000    585.414    214.586    9.644      2.728     
sp|P61916|NPC2_HUMAN      151.000    102.470    48.530     7.238      2.111     
sp|O95905|ECD_HUMAN       644.000    467.643    176.357    9.331      2.652     
sp|O43166|SI1L1_HUMAN     1804.000   1515.583   288.417    10.817     5.255     
sp|O95273|CCDB1_HUMAN     360.000    241.021    118.979    8.492      2.026     
sp|Q9UDY4|DNJB4_HUMAN     337.000    279.191    57.809     8.397      4.830     
sp|P15822|ZEP1_HUMAN      2718.000   2495.620   222.380    11.408     11.222    
sp|Q6FHJ7|SFRP4_HUMAN     346.000    222.357    123.643    8.435      1.798     
sp|P22897|MRC1_HUMAN      1456.000   883.869    572.131    10.508     1.545     
sp|Q12802|AKP13_HUMAN     2813.000   2456.781   356.219    11.458     6.897     
sp|Q06141|REG3A_HUMAN     175.000    126.859    48.141     7.451      2.635     
sp|O75326|SEM7A_HUMAN     666.000    450.265    215.735    9.379      2.087     
sp|Q8N6Q3|CD177_HUMAN     437.000    314.040    122.960    8.771      2.554     
sp|P61513|RL37A_HUMAN     92.000     61.629     30.371     6.524      2.029     
sp|P17812|PYRG1_HUMAN     591.000    375.798    215.202    9.207      1.746     
sp|Q02878|RL6_HUMAN       288.000    228.659    59.341     8.170      3.853     
sp|P61026|RAB10_HUMAN     200.000    123.609    76.391     7.644      1.618     
sp|Q15771|RAB30_HUMAN     203.000    117.582    85.418     7.665      1.377     
sp|Q53S08|RAB6D_HUMAN     254.000    164.845    89.155     7.989      1.849     
sp|P61106|RAB14_HUMAN     215.000    137.330    77.670     7.748      1.768     
sp|Q86YS6|RAB43_HUMAN     212.000    135.331    76.669     7.728      1.765     
sp|P18433|PTPRA_HUMAN     802.000    514.308    287.692    9.647      1.788     
sp|Q3MIT2|PUS10_HUMAN     529.000    337.620    191.380    9.047      1.764     
sp|Q9H0K6|PUS7L_HUMAN     701.000    452.667    248.333    9.453      1.823     
sp|Q96N64|PWP2A_HUMAN     755.000    678.672    76.328     9.560      8.891     
sp|P61927|RL37_HUMAN      97.000     93.929     3.071      6.600      30.586    
sp|Q96HA9|PX11C_HUMAN     241.000    128.426    112.574    7.913      1.141     
sp|I3L0S3|PYAS1_HUMAN     204.000    181.239    22.761     7.672      7.963     
sp|P11216|PYGB_HUMAN      843.000    466.618    376.382    9.719      1.240     
sp|P18124|RL7_HUMAN       248.000    162.654    85.346     7.954      1.906     
sp|Q8WUD1|RAB2B_HUMAN     216.000    136.937    79.063     7.755      1.732     
sp|Q9BZG1|RAB34_HUMAN     259.000    146.909    112.091    8.017      1.311     
sp|O95755|RAB36_HUMAN     333.000    223.109    109.891    8.379      2.030     
sp|Q9H0T7|RAB17_HUMAN     212.000    146.296    65.704     7.728      2.227     
sp|Q8TD07|RAE1E_HUMAN     263.000    141.628    121.372    8.039      1.167     
sp|Q9Y5P3|RAI2_HUMAN      530.000    466.852    63.148     9.050      7.393     
sp|P11233|RALA_HUMAN      206.000    150.844    55.156     7.687      2.735     
sp|Q96S59|RANB9_HUMAN     729.000    579.412    149.588    9.510      3.873     
sp|P62834|RAP1A_HUMAN     184.000    113.462    70.538     7.524      1.609     
sp|P10276|RARA_HUMAN      462.000    359.844    102.156    8.852      3.522     
sp|P29373|RABP2_HUMAN     138.000    97.056     40.944     7.109      2.370     
sp|Q15286|RAB35_HUMAN     201.000    125.344    75.656     7.651      1.657     
sp|Q9ULW5|RAB26_HUMAN     256.000    174.551    81.449     8.000      2.143     
sp|Q86UN2|R4RL1_HUMAN     441.000    286.655    154.345    8.785      1.857     
sp|Q96E17|RAB3C_HUMAN     227.000    149.629    77.371     7.827      1.934     
sp|P15153|RAC2_HUMAN      192.000    110.454    81.546     7.585      1.355     
sp|A8MTL3|R212B_HUMAN     300.000    242.152    57.848     8.229      4.186     
sp|P60763|RAC3_HUMAN      192.000    107.382    84.618     7.585      1.269     
sp|P26374|RAE2_HUMAN      656.000    446.301    209.699    9.358      2.128     
sp|P55895|RAG2_HUMAN      527.000    332.816    194.184    9.042      1.714     
sp|Q96DA2|RB39B_HUMAN     213.000    117.394    95.606     7.735      1.228     
sp|Q15907|RB11B_HUMAN     218.000    142.369    75.631     7.768      1.882     
sp|Q8IZ41|RASEF_HUMAN     740.000    605.308    134.692    9.531      4.494     
sp|P01116|RASK_HUMAN      189.000    120.774    68.226     7.562      1.770     
sp|P50749|RASF2_HUMAN     326.000    248.936    77.064     8.349      3.230     
sp|Q86WH2|RASF3_HUMAN     238.000    183.630    54.370     7.895      3.377     
sp|O43374|RASL2_HUMAN     803.000    546.560    256.440    9.649      2.131     
sp|Q5T8P6|RBM26_HUMAN     1007.000   907.069    99.931     9.976      9.077     
sp|Q9BWF3|RBM4_HUMAN      364.000    273.464    90.536     8.508      3.020     
sp|P42696|RBM34_HUMAN     430.000    363.237    66.763     8.748      5.441     
sp|Q9Y580|RBM7_HUMAN      266.000    230.472    35.528     8.055      6.487     
sp|O60894|RAMP1_HUMAN     148.000    57.645     90.355     7.209      0.638     
sp|P20338|RAB4A_HUMAN     218.000    136.542    81.458     7.768      1.676     
sp|Q06609|RAD51_HUMAN     339.000    218.176    120.824    8.405      1.806     
sp|O14807|RASM_HUMAN      208.000    137.035    70.965     7.700      1.931     
sp|Q14088|RB33A_HUMAN     237.000    149.923    87.077     7.889      1.722     
sp|P28749|RBL1_HUMAN      1068.000   703.651    364.349    10.061     1.931     
sp|Q9UBK7|RBL2A_HUMAN     228.000    144.105    83.895     7.833      1.718     
sp|P98175|RBM10_HUMAN     930.000    839.589    90.411     9.861      9.286     
sp|Q6ZRY4|RBPS2_HUMAN     209.000    145.396    63.604     7.707      2.286     
sp|P38159|RBMX_HUMAN      391.000    370.069    20.931     8.611      17.680    
sp|Q15311|RBP1_HUMAN      655.000    552.124    102.876    9.355      5.367     
sp|Q9Y5S9|RBM8A_HUMAN     174.000    146.311    27.689     7.443      5.284     
sp|Q15434|RBMS2_HUMAN     407.000    353.189    53.811     8.669      6.563     
sp|Q9H477|RBSK_HUMAN      322.000    189.372    132.628    8.331      1.428     
sp|P0DJD4|RBY1C_HUMAN     496.000    472.220    23.780     8.954      19.858    
sp|Q15415|RBY1F_HUMAN     496.000    471.078    24.922     8.954      18.902    
sp|Q9UKL0|RCOR1_HUMAN     485.000    393.742    91.258     8.922      4.315     
sp|P25800|RBTN1_HUMAN     156.000    79.675     76.325     7.285      1.044     
sp|Q9P2K3|RCOR3_HUMAN     495.000    403.539    91.461     8.951      4.412     
sp|Q14206|RCAN2_HUMAN     197.000    144.889    52.111     7.622      2.780     
sp|Q9UKA8|RCAN3_HUMAN     241.000    191.796    49.204     7.913      3.898     
sp|Q9NYR8|RDH8_HUMAN      311.000    184.053    126.947    8.281      1.450     
sp|O95072|REC8_HUMAN      547.000    460.228    86.772     9.095      5.304     
sp|P61575|RECK8_HUMAN     105.000    96.289     8.711      6.714      11.054    
sp|Q00765|REEP5_HUMAN     189.000    97.103     91.897     7.562      1.057     
sp|Q9NS39|RED2_HUMAN      739.000    565.182    173.818    9.529      3.252     
sp|Q9H902|REEP1_HUMAN     201.000    122.167    78.833     7.651      1.550     
sp|Q9BYZ8|REG4_HUMAN      158.000    97.178     60.822     7.304      1.598     
sp|P04090|REL2_HUMAN      185.000    136.003    48.997     7.531      2.776     
sp|Q8WXF3|REL3_HUMAN      142.000    97.506     44.494     7.150      2.191     
sp|Q9P260|RELCH_HUMAN     1216.000   847.018    368.982    10.248     2.296     
sp|Q9Y620|RA54B_HUMAN     910.000    590.613    319.387    9.830      1.849     
sp|Q9UJ41|RABX5_HUMAN     708.000    545.890    162.110    9.468      3.367     
sp|Q5HYI8|RABL3_HUMAN     236.000    147.471    88.529     7.883      1.666     
sp|P43351|RAD52_HUMAN     418.000    343.426    74.574     8.707      4.605     
sp|Q92698|RAD54_HUMAN     747.000    507.691    239.309    9.545      2.121     
sp|Q9NP90|RAB9B_HUMAN     201.000    119.435    81.565     7.651      1.464     
sp|P46060|RAGP1_HUMAN     587.000    418.839    168.161    9.197      2.491     
sp|Q6NSI4|RADX_HUMAN      855.000    562.502    292.498    9.740      1.923     
sp|P43487|RANG_HUMAN      201.000    170.866    30.134     7.651      5.670     
sp|P10114|RAP2A_HUMAN     183.000    122.720    60.280     7.516      2.036     
sp|P62826|RAN_HUMAN       216.000    124.350    91.650     7.755      1.357     
sp|P12271|RLBP1_HUMAN     317.000    204.756    112.244    8.308      1.824     
sp|Q8NHQ8|RASF8_HUMAN     419.000    366.222    52.778     8.711      6.939     
sp|Q14644|RASA3_HUMAN     834.000    536.740    297.260    9.704      1.806     
sp|Q9HCJ3|RAVR2_HUMAN     691.000    531.649    159.351    9.433      3.336     
sp|Q09028|RBBP4_HUMAN     425.000    290.966    134.034    8.731      2.171     
sp|Q15291|RBBP5_HUMAN     538.000    380.214    157.786    9.071      2.410     
sp|Q9BQ04|RBM4B_HUMAN     359.000    268.346    90.654     8.488      2.960     
sp|Q9NTZ6|RBM12_HUMAN     932.000    753.802    178.198    9.864      4.230     
sp|Q14498|RBM39_HUMAN     530.000    410.896    119.104    9.050      3.450     
sp|Q9Y4C8|RBM19_HUMAN     960.000    772.843    187.157    9.907      4.129     
sp|P0C7P1|RBY1D_HUMAN     496.000    472.382    23.618     8.954      20.001    
sp|Q15293|RCN1_HUMAN      331.000    265.234    65.766     8.371      4.033     
sp|Q9H4I0|RD21L_HUMAN     556.000    425.020    130.980    9.119      3.245     
sp|Q96D15|RCN3_HUMAN      328.000    254.660    73.340     8.358      3.472     
sp|P46063|RECQ1_HUMAN     649.000    412.538    236.462    9.342      1.745     
sp|O94761|RECQ4_HUMAN     1208.000   944.155    263.845    10.238     3.578     
sp|P78563|RED1_HUMAN      741.000    554.785    186.215    9.533      2.979     
sp|P05451|REG1A_HUMAN     166.000    111.890    54.110     7.375      2.068     
sp|P48304|REG1B_HUMAN     166.000    129.720    36.280     7.375      3.575     
sp|P78509|RELN_HUMAN      3460.000   1970.061   1489.939   11.757     1.322     
sp|Q04864|REL_HUMAN       619.000    490.450    128.550    9.274      3.815     
sp|O75787|RENR_HUMAN      350.000    214.600    135.400    8.451      1.585     
sp|Q92900|RENT1_HUMAN     1129.000   760.968    368.032    10.141     2.068     
sp|Q6BDI9|REP15_HUMAN     236.000    146.019    89.981     7.883      1.623     
sp|Q9BWE0|REPI1_HUMAN     567.000    492.530    74.470     9.147      6.614     
sp|Q9H1J1|REN3A_HUMAN     476.000    434.396    41.604     8.895      10.441    
sp|P02753|RET4_HUMAN      201.000    115.521    85.479     7.651      1.351     
sp|Q969Q5|RAB24_HUMAN     203.000    125.491    77.509     7.665      1.619     
sp|P59190|RAB15_HUMAN     212.000    142.454    69.546     7.728      2.048     
sp|Q96AH8|RAB7B_HUMAN     199.000    108.784    90.216     7.637      1.206     
sp|P20337|RAB3B_HUMAN     219.000    137.713    81.287     7.775      1.694     
sp|Q96B01|R51A1_HUMAN     352.000    333.554    18.446     8.459      18.083    
sp|Q15109|RAGE_HUMAN      404.000    319.319    84.681     8.658      3.771     
sp|P04049|RAF1_HUMAN      648.000    435.630    212.370    9.340      2.051     
sp|O60895|RAMP2_HUMAN     175.000    104.798    70.202     7.451      1.493     
sp|O60896|RAMP3_HUMAN     148.000    74.092     73.908     7.209      1.002     
sp|Q7Z5J4|RAI1_HUMAN      1906.000   1811.650   94.350     10.896     19.201    
sp|P11234|RALB_HUMAN      206.000    156.536    49.464     7.687      3.165     
sp|Q9BUV8|RAB5I_HUMAN     137.000    63.859     73.141     7.098      0.873     
sp|Q86SE5|RALYL_HUMAN     291.000    239.452    51.548     8.185      4.645     
sp|P01112|RASH_HUMAN      189.000    120.650    68.350     7.562      1.765     
sp|Q8IUH3|RBM45_HUMAN     476.000    332.545    143.455    8.895      2.318     
sp|Q5RL73|RBM48_HUMAN     367.000    288.557    78.443     8.520      3.679     
sp|Q9P2N5|RBM27_HUMAN     1060.000   967.566    92.434     10.050     10.468    
sp|P52756|RBM5_HUMAN      815.000    694.618    120.382    9.671      5.770     
sp|Q96LT9|RBM40_HUMAN     517.000    424.874    92.126     9.014      4.612     
sp|Q8TAI7|REBL1_HUMAN     183.000    114.219    68.781     7.516      1.661     
sp|Q6UW15|REG3G_HUMAN     175.000    128.935    46.065     7.451      2.799     
sp|A0A1B0GV85|RELD1_HUMAN 526.000    409.709    116.291    9.039      3.523     
sp|Q8IUW5|RELL1_HUMAN     271.000    229.375    41.625     8.082      5.511     
sp|P51606|RENBP_HUMAN     427.000    252.042    174.958    8.738      1.441     
sp|P00797|RENI_HUMAN      406.000    240.837    165.163    8.665      1.458     
sp|P82980|RET5_HUMAN      135.000    76.062     58.938     7.077      1.291     
sp|Q96R05|RET7_HUMAN      134.000    83.240     50.760     7.066      1.640     
sp|Q13127|REST_HUMAN      1097.000   1007.234   89.766     10.099     11.221    
sp|P07949|RET_HUMAN       1114.000   730.186    383.814    10.122     1.902     
sp|Q9UBZ9|REV1_HUMAN      1251.000   968.767    282.233    10.289     3.433     
sp|Q8NBN7|RDH13_HUMAN     331.000    213.796    117.204    8.371      1.824     
sp|P35243|RECO_HUMAN      200.000    140.726    59.274     7.644      2.374     
sp|Q9BQ08|RETNB_HUMAN     111.000    84.786     26.214     6.794      3.234     
sp|Q9HD89|RETN_HUMAN      108.000    70.576     37.424     6.755      1.886     
sp|Q9GZR2|REXO4_HUMAN     422.000    366.188    55.812     8.721      6.561     
sp|Q96EN9|REX1B_HUMAN     201.000    165.340    35.660     7.651      4.637     
sp|Q9H628|RERGL_HUMAN     205.000    127.768    77.232     7.679      1.654     
sp|Q96A58|RERG_HUMAN      199.000    131.413    67.587     7.637      1.944     
sp|Q5W5W9|RES18_HUMAN     228.000    150.861    77.139     7.833      1.956     
sp|O75570|RF1M_HUMAN      445.000    309.543    135.457    8.798      2.285     
sp|P27694|RFA1_HUMAN      616.000    405.808    210.192    9.267      1.931     
sp|P35244|RFA3_HUMAN      121.000    68.216     52.784     6.919      1.292     
