Gene                      Capacity   Entropy    Info       logC       R         
DP01039                   594.000    362.462    231.538    9.214      1.565     
DP01091                   266.000    164.388    101.612    8.055      1.618     
DP01099                   350.000    223.261    126.739    8.451      1.762     
DP00981                   173.000    124.927    48.073     7.435      2.599     
DP00985                   305.000    198.124    106.876    8.253      1.854     
DP00142                   209.000    162.787    46.213     7.707      3.523     
DP00024                   98.000     67.279     30.721     6.615      2.190     
DP00023                   328.000    210.415    117.585    8.358      1.789     
DP01003                   101.000    92.811     8.189      6.658      11.333    
DP00322                   404.000    273.117    130.883    8.658      2.087     
DP00324                   372.000    324.795    47.205     8.539      6.881     
DP00285                   848.000    820.854    27.146     9.728      30.238    
DP00733                   524.000    318.448    205.552    9.033      1.549     
DP00510                   82.000     81.727     0.273      6.358      299.673   
DP00450                   1332.000   829.271    502.729    10.379     1.650     
DP00964                   53.000     28.294     24.706     5.728      1.145     
DP00962                   750.000    505.227    244.773    9.551      2.064     
DP00807                   132.000    114.175    17.825     7.044      6.405     
DP00607                   210.000    163.739    46.261     7.714      3.539     
DP00219                   126.000    125.043    0.957      6.977      130.709   
DP00210                   217.000    141.279    75.721     7.762      1.866     
DP00108                   421.000    270.919    150.081    8.718      1.805     
DP00107                   376.000    210.617    165.383    8.555      1.274     
DP00088                   663.000    231.965    431.035    9.373      0.538     
DP00087                   490.000    360.013    129.987    8.937      2.770     
DP00492                   920.000    723.556    196.444    9.845      3.683     
DP00072                   34350.000  24590.562  9759.438   15.068     2.520     
DP00774                   449.000    281.117    167.883    8.811      1.674     
DP00079                   530.000    374.193    155.807    9.050      2.402     
DP01074                   86.000     85.347     0.653      6.426      130.697   
DP00175                   619.000    564.804    54.196     9.274      10.422    
DP00797                   167.000    144.657    22.343     7.384      6.474     
DP00792                   131.000    94.697     36.303     7.033      2.609     
DP00654                   725.000    424.621    300.379    9.502      1.414     
DP00651                   1738.000   1216.044   521.956    10.763     2.330     
DP00251                   575.000    533.804    41.196     9.167      12.958    
DP00259                   147.000    78.845     68.155     7.200      1.157     
DP00311                   287.000    163.255    123.745    8.165      1.319     
DP00420                   854.000    726.536    127.464    9.738      5.700     
DP00429                   419.000    250.298    168.702    8.711      1.484     
DP00851                   256.000    84.528     171.472    8.000      0.493     
DP00557                   2233.000   1408.838   824.162    11.125     1.709     
DP00552                   216.000    178.893    37.107     7.755      4.821     
DP01011                   185.000    129.239    55.761     7.531      2.318     
DP01083                   680.000    442.508    237.492    9.409      1.863     
DP01088                   89.000     83.645     5.355      6.476      15.618    
DP00531                   115.000    112.739    2.261      6.845      49.862    
DP00137                   65.000     60.473     4.527      6.022      13.357    
DP00033                   638.000    449.761    188.239    9.317      2.389     
DP00034                   424.000    317.517    106.483    8.728      2.982     
DP00887                   168.000    142.841    25.159     7.392      5.678     
DP00296                   82.000     51.616     30.384     6.358      1.699     
DP00298                   233.000    150.712    82.288     7.864      1.832     
DP00689                   186.000    185.563    0.437      7.539      424.586   
DP00687                   215.000    140.498    74.502     7.748      1.886     
DP01101                   169.000    161.366    7.634      7.401      21.138    
DP01104                   2555.000   2105.380   449.620    11.319     4.683     
DP00043                   239.000    191.586    47.414     7.901      4.041     
DP00666                   1257.000   850.417    406.583    10.296     2.092     
DP00509                   86.000     42.265     43.735     6.426      0.966     
DP00668                   189.000    121.532    67.468     7.562      1.801     
DP00957                   464.000    352.253    111.747    8.858      3.152     
